Maize_AGPv2_gene
GRMZM2G015126
GRMZM2G034697
GRMZM2G042295
GRMZM2G045249
GRMZM2G059445
GRMZM2G060886
GRMZM2G067764
GRMZM2G085926
GRMZM2G087146
GRMZM2G107629
GRMZM2G122296
GRMZM2G132898
GRMZM2G170400
GRMZM2G171229
GRMZM2G402039
GRMZM2G425249
GRMZM2G466281
GRMZM2G701058
